subset,model,seed,window_size,max_rul,trigger_column,lead_time,maintenance_rate,early_maintenance_rate,late_maintenance_rate,missed_critical_rate,expected_cost,oracle_expected_cost,decision_regret,policy
FD002,tcn,43,30,130,y_pred,50.0,0.3204633204633205,0.011583011583011582,0.03088803088803089,0.0,0.6301930501930502,0.33976833976833976,0.2904247104247104,mean
FD002,tcn,44,30,130,y_pred,10.0,0.0888030888030888,0.04247104247104247,0.03861003861003861,0.14671814671814673,3.412818532818533,0.08494208494208494,3.327876447876448,mean
FD002,tcn,44,30,130,y_pred,20.0,0.2084942084942085,0.019305019305019305,0.015444015444015444,0.03474903474903475,1.0608494208494208,0.20463320463320464,0.8562162162162162,mean
FD002,tcn,44,30,130,y_pred,30.0,0.25096525096525096,0.019305019305019305,0.003861003861003861,0.003861003861003861,0.3697297297297297,0.23552123552123552,0.1342084942084942,mean
FD002,tcn,44,30,130,y_pred,50.0,0.3281853281853282,0.015444015444015444,0.02702702702702703,0.0,0.6004633204633205,0.33976833976833976,0.26069498069498076,mean
FD003,cnn,42,30,130,y_pred,10.0,0.01,0.01,0.06,0.19,4.4113999999999995,0.06,4.3514,mean
FD003,cnn,42,30,130,y_pred,20.0,0.07,0.01,0.08,0.13,3.471,0.14,3.3310000000000004,mean
FD003,cnn,42,30,130,y_pred,30.0,0.14,0.01,0.07,0.07,2.2401999999999997,0.2,2.0402,mean
FD003,cnn,42,30,130,y_pred,50.0,0.26,0.04,0.07,0.03,1.5748000000000002,0.29,1.2848000000000002,mean
FD003,cnn,43,30,130,y_pred,10.0,0.05,0.01,0.02,0.15,3.2502,0.06,3.1902,mean
FD003,cnn,43,30,130,y_pred,20.0,0.09,0.01,0.06,0.11,2.891,0.14,2.7510000000000003,mean
FD003,cnn,43,30,130,y_pred,30.0,0.16,0.02,0.06,0.06,1.9612,0.2,1.7612,mean
FD003,cnn,43,30,130,y_pred,50.0,0.27,0.05,0.07,0.03,1.5864000000000003,0.29,1.2964000000000002,mean
FD003,cnn,44,30,130,y_pred,10.0,0.04,0.0,0.02,0.16,3.44,0.06,3.38,mean
FD003,cnn,44,30,130,y_pred,20.0,0.09,0.01,0.06,0.11,2.891,0.14,2.7510000000000003,mean
FD003,cnn,44,30,130,y_pred,30.0,0.15,0.02,0.07,0.07,2.2512,0.2,2.0512,mean
FD003,cnn,44,30,130,y_pred,50.0,0.27,0.04,0.06,0.03,1.4778000000000002,0.29,1.1878,mean
FD003,gradient_boosting,42,30,130,y_pred,10.0,0.05,0.0,0.01,0.15,3.15,0.06,3.09,mean
FD003,gradient_boosting,42,30,130,y_pred,20.0,0.12,0.0,0.02,0.08,1.92,0.14,1.78,mean
FD003,gradient_boosting,42,30,130,y_pred,30.0,0.19,0.02,0.03,0.03,1.0912,0.2,0.8912,mean
FD003,gradient_boosting,42,30,130,y_pred,50.0,0.29,0.01,0.01,0.0,0.3942,0.29,0.1042,mean
FD003,gradient_boosting,43,30,130,y_pred,10.0,0.05,0.0,0.01,0.15,3.15,0.06,3.09,mean
FD003,gradient_boosting,43,30,130,y_pred,20.0,0.12,0.01,0.03,0.09,2.2222,0.14,2.0822,mean
FD003,gradient_boosting,43,30,130,y_pred,30.0,0.2,0.02,0.02,0.02,0.8012,0.2,0.6012,mean
FD003,gradient_boosting,43,30,130,y_pred,50.0,0.31,0.03,0.01,0.0,0.41619999999999996,0.29,0.1262,mean
FD003,gradient_boosting,44,30,130,y_pred,10.0,0.06,0.01,0.01,0.14,2.9602,0.06,2.9002,mean
FD003,gradient_boosting,44,30,130,y_pred,20.0,0.14,0.01,0.01,0.07,1.6421999999999999,0.14,1.5022,mean
FD003,gradient_boosting,44,30,130,y_pred,30.0,0.19,0.02,0.03,0.03,1.0912,0.2,0.8912,mean
